,SP500,SP500 Return
2022-06-01,4101.22998046875,-0.007482768681131846
2022-06-02,4176.81982421875,0.018431018038486124
2022-06-03,4108.5400390625,-0.016347313992415624
2022-06-06,4121.43017578125,0.003137400778913113
2022-06-07,4160.68017578125,0.009523393173235029
2022-06-08,4115.77001953125,-0.010793945785935621
2022-06-09,4017.820068359375,-0.02379869397635359
2022-06-10,3900.860107421875,-0.029110303335524668
2022-06-13,3749.6298828125,-0.038768430665237275
2022-06-14,3735.47998046875,-0.0037736797459957394
2022-06-15,3789.989990234375,0.014592504858983224
2022-06-16,3666.77001953125,-0.03251195148816344
2022-06-17,3674.840087890625,0.002200865698254617
2022-06-21,3764.7900390625,0.024477242280086964
2022-06-22,3759.889892578125,-0.0013015723144006452
2022-06-23,3795.72998046875,0.009532217409177868
2022-06-24,3911.739990234375,0.03056329358583576
2022-06-27,3900.110107421875,-0.0029730715337762392
2022-06-28,3821.550048828125,-0.020143036075892073
2022-06-29,3818.830078125,-0.0007117454091590814
2022-06-30,3785.3798828125,-0.008759278267998716
2022-07-01,3825.330078125,0.010553814029047315
2022-07-05,3831.389892578125,0.0015841285142366157
2022-07-06,3845.080078125,0.0035731642904301975
2022-07-07,3902.6201171875,0.014964587965241805
2022-07-08,3899.3798828125,-0.000830271529819071
2022-07-11,3854.429931640625,-0.011527461422777274
2022-07-12,3818.800048828125,-0.009243878717321574
2022-07-13,3801.780029296875,-0.0044569025122100925
2022-07-14,3790.3798828125,-0.00299863390215227
2022-07-15,3863.159912109375,0.01920124935943668
2022-07-18,3830.85009765625,-0.008363571580831342
2022-07-19,3936.68994140625,0.02762829164595959
2022-07-20,3959.89990234375,0.005895806193263242
2022-07-21,3998.949951171875,0.00986137270919718
2022-07-22,3961.6298828125,-0.00933246697634671
2022-07-25,3966.840087890625,0.0013151670479691902
2022-07-26,3921.050048828125,-0.01154320266205866
2022-07-27,4023.610107421875,0.026156273782937722
2022-07-28,4072.429931640625,0.012133338697180918
2022-07-29,4130.2900390625,0.014207760082581844
2022-08-01,4118.6298828125,-0.0028230841271976725
2022-08-02,4091.18994140625,-0.006662395550704803
2022-08-03,4155.169921875,0.015638477163140152
2022-08-04,4151.93994140625,-0.0007773401640558397
2022-08-05,4145.18994140625,-0.0016257460597355333
2022-08-08,4140.06005859375,-0.0012375507238541195
2022-08-09,4122.47021484375,-0.004248692893594086
2022-08-10,4210.240234375,0.021290637641290244
2022-08-11,4207.27001953125,-0.0007054739583503
2022-08-12,4280.14990234375,0.017322368774566943
2022-08-15,4297.14013671875,0.0039695418998517695
2022-08-16,4305.2001953125,0.0018756797165810912
2022-08-17,4274.0400390625,-0.007237794954094601
2022-08-18,4283.740234375,0.002269561170191503
2022-08-19,4228.47998046875,-0.012900001139847905
2022-08-22,4137.990234375,-0.0214000649197158
2022-08-23,4128.72998046875,-0.0022378626777133093
2022-08-24,4140.77001953125,0.0029161604463010526
2022-08-25,4199.1201171875,0.014091605518061545
2022-08-26,4057.659912109375,-0.03368805871951874
2022-08-29,4030.610107421875,-0.006666355799502699
2022-08-30,3986.159912109375,-0.011028155571448206
2022-08-31,3955.0,-0.007817025105971265
2022-09-01,3966.85009765625,0.0029962320243361873
2022-09-02,3924.260009765625,-0.010736500458081055
2022-09-06,3908.18994140625,-0.004095056983834944
2022-09-07,3979.8701171875,0.018341016392734
2022-09-08,4006.179931640625,0.006610721877456038
2022-09-09,4067.360107421875,0.015271449816332883
2022-09-12,4110.41015625,0.0105842727693497
2022-09-13,3932.68994140625,-0.0432366134006168
2022-09-14,3946.010009765625,0.0033870120853238816
2022-09-15,3901.35009765625,-0.011317739184353415
2022-09-16,3873.330078125,-0.007182134089448455
2022-09-19,3899.889892578125,0.006857100716286535
2022-09-20,3855.929931640625,-0.011272103097361819
2022-09-21,3789.929931640625,-0.017116493600784488
2022-09-22,3757.989990234375,-0.00842758097968943
2022-09-23,3693.22998046875,-0.017232619015461026
2022-09-26,3655.0400390625,-0.010340526208282075
2022-09-27,3647.2900390625,-0.0021203598092424114
2022-09-28,3719.0400390625,0.019672139926234733
2022-09-29,3640.469970703125,-0.021126437880238824
2022-09-30,3585.6201171875,-0.015066695771983274
2022-10-03,3678.429931640625,0.025883894952576147
2022-10-04,3790.929931640625,0.030583700679551518
2022-10-05,3783.280029296875,-0.002017948757084831
2022-10-06,3744.52001953125,-0.010245080846639998
2022-10-07,3639.659912109375,-0.028003617786773516
2022-10-10,3612.389892578125,-0.00749246363390188
2022-10-11,3588.840087890625,-0.006519175777754405
2022-10-12,3577.030029296875,-0.0032907731480149582
2022-10-13,3669.909912109375,0.02596564246086497
2022-10-14,3583.070068359375,-0.02366266361565439
2022-10-17,3677.949951171875,0.026480052302171098
2022-10-18,3719.97998046875,0.011427569666488724
2022-10-19,3695.159912109375,-0.0066720972934503076
2022-10-20,3665.780029296875,-0.007950909706564868
2022-10-21,3752.75,0.02372481982226482
2022-10-24,3797.340087890625,0.011881976654619875
2022-10-25,3859.110107421875,0.016266654579669915
2022-10-26,3830.60009765625,-0.007387716072364547
2022-10-27,3807.300048828125,-0.006082610618211248
2022-10-28,3901.06005859375,0.024626377895927698
2022-10-31,3871.97998046875,-0.00745440410765752
2022-11-01,3856.10009765625,-0.004101230608784645
2022-11-02,3759.68994140625,-0.02500198485734284
2022-11-03,3719.889892578125,-0.010585992315429671
2022-11-04,3770.550048828125,0.013618724670070526
2022-11-07,3806.800048828125,0.009613981920559844
2022-11-08,3828.110107421875,0.005597892802462701
2022-11-09,3748.570068359375,-0.02077788695478977
